player,display_name,photo,flag,club_logo,club,theme_color
SEGHI Marie-Rose,SEGHI Marie-Rose,assets/players/seghi-marie-rose.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SEMIATCKI Daniel,SEMIATCKI Daniel,assets/players/semiatcki-daniel.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SERVAIS Emmanuel,SERVAIS Emmanuel,assets/players/servais-emmanuel.png,assets/flags/be.png,assets/clubs/chimay.png,Chimay,#F59E0B
SEYMAT Maxence,SEYMAT Maxence,assets/players/seymat-maxence.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SEYMAT Roland,SEYMAT Roland,assets/players/seymat-roland.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SIMÉON Jacques,SIMÉON Jacques,assets/players/simeon-jacques.png,assets/flags/fr.png,assets/clubs/viroflay.png,Viroflay,#111827
SINTINO Alfonso,SINTINO Alfonso,assets/players/sintino-alfonso.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SMADJA Gilles,SMADJA Gilles,assets/players/smadja-gilles.png,assets/flags/fr.png,assets/clubs/default.png,,#111827
SORONDO Mathieu,SORONDO Mathieu,assets/players/sorondo-mathieu.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SOULIER Guy,SOULIER Guy,assets/players/soulier-guy.png,assets/flags/fr.png,assets/clubs/saint-flour.png,Saint-Flour,#1D4ED8
SOUPART Fabienne,SOUPART Fabienne,assets/players/soupart-fabienne.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
SUYS Alain,SUYS Alain,assets/players/suys-alain.png,assets/flags/fr.png,assets/clubs/viroflay.png,Viroflay,#111827
SUYS Olivier,SUYS Olivier,assets/players/suys-olivier.png,assets/flags/fr.png,assets/clubs/viroflay.png,Viroflay,#111827
SWAHN Allan,SWAHN Allan,assets/players/swahn-allan.png,assets/flags/fr.png,assets/clubs/antibes.png,Antibes,#DB2777
TALLÉ Annie,TALLÉ Annie,assets/players/talle-annie.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
TARGUI Martine,TARGUI Martine,assets/players/targui-martine.png,assets/flags/fr.png,assets/clubs/durtol.png,Durtol,#1D4ED8
TELLIER Alain,TELLIER Alain,assets/players/tellier-alain.png,assets/flags/be.png,assets/clubs/chimay.png,Chimay,#F59E0B
TEURNIER Léa,TEURNIER Léa,assets/players/teurnier-lea.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
TEURNIER Éric,TEURNIER Éric,assets/players/teurnier-eric.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
THIL Martine,THIL Martine,assets/players/thil-martine.png,assets/flags/fr.png,assets/clubs/saint-martin-dheres.png,Saint-Martin-d'Hères,#1D4ED8
THIVET Michel,THIVET Michel,assets/players/thivet-michel.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
THOMAS Claudine,THOMAS Claudine,assets/players/thomas-claudine.png,assets/flags/fr.png,assets/clubs/saint-priest-en-jarez.png,Saint-Priest-en-Jarez,#1D4ED8
THOMAS Monique,THOMAS Monique,assets/players/thomas-monique.png,assets/flags/fr.png,assets/clubs/domerat.png,Domérat,#1D4ED8
THOMAS Sylviane,THOMAS Sylviane,assets/players/thomas-sylviane.png,assets/flags/fr.png,assets/clubs/domerat.png,Domérat,#1D4ED8
THOMINE Martine,THOMINE Martine,assets/players/thomine-martine.png,assets/flags/fr.png,assets/clubs/saint-lo.png,Saint-Lô,#2563EB
TICHAND Yannick,TICHAND Yannick,assets/players/tichand-yannick.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
TISSOT Jean-Pierre,TISSOT Jean-Pierre,assets/players/tissot-jean-pierre.png,assets/flags/fr.png,assets/clubs/saint-priest-en-jarez.png,Saint-Priest-en-Jarez,#1D4ED8
TISSOT Nicole,TISSOT Nicole,assets/players/tissot-nicole.png,assets/flags/fr.png,assets/clubs/saint-martin-dheres.png,Saint-Martin-d'Hères,#1D4ED8
TONELLI Yvette,TONELLI Yvette,assets/players/tonelli-yvette.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
TONICELLO Claire,TONICELLO Claire,assets/players/tonicello-claire.png,assets/flags/fr.png,assets/clubs/bon-encontre.png,Bon-Encontre,#EA580C
TOUGARD Didier,TOUGARD Didier,assets/players/tougard-didier.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
TOUMIT-DELILLE Isabelle,TOUMIT-DELILLE Isabelle,assets/players/toumit-delille-isabelle.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
TOURANCHEAU Annick,TOURANCHEAU Annick,assets/players/tourancheau-annick.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
TOUSSAINT Michèle,TOUSSAINT Michèle,assets/players/toussaint-michele.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
TRASSART Marie-Madeleine,TRASSART Marie-Madeleine,assets/players/trassart-marie-madeleine.png,assets/flags/fr.png,assets/clubs/laxou.png,Laxou,#7C3AED
TRIKI Farid,TRIKI Farid,assets/players/triki-farid.png,assets/flags/fr.png,assets/clubs/saint-priest-en-jarez.png,Saint-Priest-en-Jarez,#1D4ED8
TRIMOUILLE Michelle,TRIMOUILLE Michelle,assets/players/trimouille-michelle.png,assets/flags/fr.png,assets/clubs/domerat.png,Domérat,#1D4ED8
TRIOULEYRE Anne-Marie,TRIOULEYRE Anne-Marie,assets/players/triouleyre-anne-marie.png,assets/flags/fr.png,assets/clubs/default.png,,#1D4ED8
TROMAS Marie-France,TROMAS Marie-France,assets/players/tromas-marie-france.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
TRUCCHI Sébastien,TRUCCHI Sébastien,assets/players/trucchi-sebastien.png,assets/flags/fr.png,assets/clubs/antibes.png,Antibes,#DB2777
TULPINCK Pascale,TULPINCK Pascale,assets/players/tulpinck-pascale.png,assets/flags/fr.png,assets/clubs/les-oursons.png,Les Oursons,#0F766E
TURCO Angela,TURCO Angela,assets/players/turco-angela.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
VADROT Philippe,VADROT Philippe,assets/players/vadrot-philippe.png,assets/flags/fr.png,assets/clubs/le-creusot.png,Le Creusot,#1D4ED8
VALDENAIRE Gilles,VALDENAIRE Gilles,assets/players/valdenaire-gilles.png,assets/flags/fr.png,assets/clubs/viroflay.png,Viroflay,#111827
VANNIÈRE Robert,VANNIÈRE Robert,assets/players/vanniere-robert.png,assets/flags/fr.png,assets/clubs/laxou.png,Laxou,#7C3AED
VASSEUR Olivier,VASSEUR Olivier,assets/players/vasseur-olivier.png,assets/flags/fr.png,assets/clubs/default.png,,#DC2626
VENET Sylvie,VENET Sylvie,assets/players/venet-sylvie.png,assets/flags/fr.png,assets/clubs/default.png,,#1D4ED8
VERDEYROUX Christiane,VERDEYROUX Christiane,assets/players/verdeyroux-christiane.png,assets/flags/fr.png,assets/clubs/bon-encontre.png,Bon-Encontre,#EA580C
VERGNIÈRES Julien,VERGNIÈRES Julien,assets/players/vergnieres-julien.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
VERNE Jean-Luc,VERNE Jean-Luc,assets/players/verne-jean-luc.png,assets/flags/fr.png,assets/clubs/peronnas.png,Péronnas,#1D4ED8
VIGIER Bernadette,VIGIER Bernadette,assets/players/vigier-bernadette.png,assets/flags/fr.png,assets/clubs/saint-flour.png,Saint-Flour,#1D4ED8
VIGLIONE Gérard,VIGLIONE Gérard,assets/players/viglione-gerard.png,assets/flags/fr.png,assets/clubs/default.png,,#DB2777
VILLENEUVE Didier,VILLENEUVE Didier,assets/players/villeneuve-didier.png,assets/flags/fr.png,assets/clubs/default.png,,#1D4ED8
VILLENEUVE Jacqueline,VILLENEUVE Jacqueline,assets/players/villeneuve-jacqueline.png,assets/flags/fr.png,assets/clubs/default.png,,#1D4ED8
VIRGO Laura,VIRGO Laura,assets/players/virgo-laura.png,assets/flags/be.png,assets/clubs/chimay.png,Chimay,#F59E0B
VIRGO Éric,VIRGO Éric,assets/players/virgo-eric.png,assets/flags/be.png,assets/clubs/chimay.png,Chimay,#F59E0B
VIVANT Michel,VIVANT Michel,assets/players/vivant-michel.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
VOILLET Sophie,VOILLET Sophie,assets/players/voillet-sophie.png,assets/flags/fr.png,assets/clubs/default.png,,#7C3AED
VOLDOIRE Marie-Claire,VOLDOIRE Marie-Claire,assets/players/voldoire-marie-claire.png,assets/flags/fr.png,assets/clubs/ambert.png,Ambert,#1D4ED8
WANTIEZ Monique,WANTIEZ Monique,assets/players/wantiez-monique.png,assets/flags/be.png,assets/clubs/dour.png,Dour,#F59E0B
WARNIER Pierre,WARNIER Pierre,assets/players/warnier-pierre.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
WECKEL Gabrielle,WECKEL Gabrielle,assets/players/weckel-gabrielle.png,assets/flags/fr.png,assets/clubs/antibes.png,Antibes,#DB2777
ZAKRZEWSKI Jacques,ZAKRZEWSKI Jacques,assets/players/zakrzewski-jacques.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
ÉVRARD Riley,ÉVRARD Riley,assets/players/evrard-riley.png,assets/flags/fr.png,assets/clubs/default.png,,#444444
